name,disorder,overall,psycho_tot,measure,oxyN,oxyMean_pre,oxySd_pre,oxyMean_post,oxySd_post,plaN,plaMean_pre,plaSd_pre,plaMean_post,plaSd_post,ri,SMD_pre,vSMD_pre,SMD_post,vSMD_post,oxySMCR,voxySMCR,plaSMCR,vplaSMCR,SMCR,vSMCR
"Averbeck et al., (2012)",depression,1,0,BMIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,-0.51,0.19,NA,NA,NA,NA,-0.51,0.19
den  Boer and Westenberg (1992),depression,0,0,HDS,6,8.8,3.8,8.2,3.1,6,8.5,2.7,7,2.8,0.7,0.083982418,0.33362721,0.374869852,0.339188642,-0.132749792,0.101468542,-0.467082601,0.118180513,0.334332809,0.219649055
Epperson et al. (1996),depression,0,0,BDI,7,16,2.82,15.33,2.46,7,20,2.96,21.83,3.2,0.7,-1.295041377,0.345611863,-2.131549093,0.447982198,-0.206375844,0.088756499,0.537022581,0.106313804,-0.743398425,0.195070303
Labuschagne et al. (2012),depression,0,0,POMS_dep,18,7.3,1.9,4.3,1.2,18,6.2,1.6,4,1.2,0.7,0.61234053,0.116318902,0.244437545,0.111940968,-1.508070798,0.096507709,-1.31327832,0.081241665,-0.194792478,0.177749374
den  Boer and Westenberg (1992),anxiety,1,0,STAI,6,52.2,10.8,48.7,13.4,6,53.2,12.4,61.2,7.9,0.7,-0.079358535,0.333595741,-1.048639555,0.379151872,-0.272464851,0.106186425,0.542418505,0.124518153,-0.814883356,0.230704577
Epperson et al. (1996),anxiety,1,0,YBOCS,7,25.67,3.34,25.83,3.63,7,25.67,3.35,27.67,2.26,0.7,0,0.285714286,-0.569560852,0.297299984,0.041610859,0.085837962,0.518583097,0.104923459,-0.476972238,0.190761421
Gibson (2012),anxiety,0,0,PANSS_anx,10,2.8,1.49,2.5,1.65,9,3.33,1.87,2.22,1.2,0.7,-0.301392526,0.21350157,0.183717126,0.211999321,-0.184001656,0.06169283,-0.535829252,0.082617388,0.351827595,0.144310219
Guastella et al. (2009),anxiety,1,0,LSAS,12,76.92,22.66,62.16,37.41,13,74.23,20.71,52.3,21.3,0.7,0.120065215,0.160544723,0.316750794,0.162263032,-0.605746107,0.065288681,-0.991076976,0.08393206,0.385330869,0.149220742
Labuschagne et al. (2012),anxiety,1,0,STAI,18,42.4,2.6,39.3,2,18,39.6,1.9,39.1,1.6,0.7,1.202296425,0.131187732,0.107974445,0.111273034,-1.138786795,0.069356538,-0.251345133,0.035088177,-0.887441662,0.104444715
MacDonald et al. (2012),anxiety,1,0,STAI,17,36.02,9.73,40.42,9.32,17,38.72,12.33,35.94,11.87,0.7,-0.237354075,0.118475543,0.409882184,0.120117697,0.430618384,0.040748006,-0.214701189,0.0366499,0.645319573,0.077397906
